;;utility-(0.01)-uniqueness;utility-(0.05)-uniqueness;utility-(2)-anonymity;utility-(5)-anonymity
Dataset;Model;Value;Value;Value;Value
adult;Entropy;0.9254334988408293;1.0;0.6929066141713485;0.605327062281767
adult;Loss;0.9814797624031617;1.0;0.8379789553952692;0.778713255440429
cup;Entropy;0.769981403296893;0.8053215148040623;0.5080261971068958;0.4556474941902996
cup;Loss;0.9731845518851563;0.9767249824595343;0.8862728419060015;0.8603106390825048
fars;Entropy;0.875;0.9319145264403484;0.7672381198420798;0.7086998282434557
fars;Loss;0.9618678107159198;0.9730977929068587;0.8867543585126874;0.8471462197094193
atus;Entropy;0.969163981709785;1.0;0.8485592978393142;0.7944905161867195
atus;Loss;0.9977174441206551;1.0;0.9452634101846358;0.9130585613950422
ihis;Entropy;0.8976905500533809;0.9596781460586757;0.7738021715993559;0.7188707788794269
ihis;Loss;0.9870464845286242;0.9960587060021946;0.9232164810289503;0.8711639862825868
