;;;time-(0.01)-uniqueness;time-(5)-anonymity;utility-(0.01)-uniqueness;utility-(5)-anonymity
Dataset;Rows;Columns;Value;Value;Value;Value
adult;30162;3;14.6;5.8;1.0;0.9859094225
adult;30162;4;11.0;7.0;1.0;0.9746166564999741
adult;30162;5;15.2;15.6;1.0;0.9197842558157301
adult;30162;6;17.2;34.4;1.0;0.872186523851008
adult;30162;7;44.2;133.2;0.9949605463999995;0.8432555224129377
adult;30162;8;380.8;1096.4;0.9890642145733353;0.7786155401270047
adult;30162;9;390.8;2362.8;0.9814797624031617;0.778713255440429
adult;3016;9;45.6;1049.4;0.9803012942451796;0.6603759662062956
adult;6032;9;65.2;1400.0;0.9786713147254809;0.6986946128493645
adult;9048;9;67.6;1620.8;0.9803012942451796;0.7204076275531692
adult;12064;9;91.0;1869.0;0.9803012942451796;0.7288254334205866
adult;15080;9;245.8;1967.0;0.9803012942451796;0.7453561332265664
adult;18096;9;274.8;2070.0;0.9803012942451796;0.7538286748977991
adult;21112;9;476.8;2088.2;0.9803012942451796;0.7636364162337952
adult;24128;9;357.8;2166.0;0.9817420412294182;0.7690909476606915
adult;27144;9;376.4;2303.0;0.9824722164528088;0.7733770879935864
adult;30162;9;388.6;2329.6;0.9814797624031617;0.778713255440429
cup;63441;3;146.2;212.0;1.0;0.9524151061449271
cup;63441;4;163.2;172.0;1.0;0.9428298428700759
cup;63441;5;161.0;234.8;1.0;0.915506177841545
cup;63441;6;5631.8;707.4;0.9726068463345008;0.895443221771659
cup;63441;7;14772.4;4198.4;0.9751112368798673;0.8761515077415518
cup;63441;8;31479.2;18647.4;0.9731845518851563;0.8603106390825048
cup;6344;8;2699.2;6486.2;0.9683589042750818;0.7613721419422697
cup;12688;8;5203.8;8260.0;0.973184453670453;0.7993964386888843
cup;19032;8;5235.6;10544.4;0.978255798681412;0.8109170353201358
cup;25376;8;11546.4;12939.8;0.9632387246392415;0.8183549880096184
cup;31720;8;13785.2;14120.6;0.9683591333838875;0.8312673180122567
cup;38064;8;16617.2;15218.0;0.968359095210358;0.8396090887450431
cup;44408;8;23804.0;16041.0;0.9683590679273348;0.8481693608010397
cup;50752;8;24043.4;17241.6;0.9731845764415707;0.852759264740496
cup;57096;8;25566.8;17741.6;0.9731845627991178;0.8577680635170106
cup;63441;8;31369.0;18605.0;0.9731845518851563;0.8603106390825048
fars;100937;3;14.8;11.0;1.0;0.9707992528118226
